"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1266-5p",13.4819533126406,9.83878461471861,11.8935583941461,9.59819804844279e-26,2.10994870892492e-24,45.06722603986
"hsa-miR-4287",14.525737905758,11.0931949350649,11.8900676911246,9.84995967508821e-26,2.14678608303205e-24,45.0438901256553
"hsa-miR-5007-5p",14.2809835962663,8.64237153679654,11.8875468790656,1.00358551777082e-25,2.16876531382678e-24,45.0270387951025
"hsa-miR-520f-5p",15.8289599239766,12.0043973809524,11.868736242065,1.15380951760197e-25,2.47244896628995e-24,44.9013106936123
"hsa-miR-181d-3p",17.3326000222672,13.3668518268398,11.8669569680374,1.16913092962048e-25,2.48440322544351e-24,44.8894199567911
"hsa-miR-495-5p",14.3859540544309,11.9338571904762,11.8605990870407,1.22555586021798e-25,2.58278301120318e-24,44.8469332261651
"hsa-miR-874-3p",17.5451596156095,16.0919260735931,11.8479486651296,1.34603149917389e-25,2.81342649417493e-24,44.7624078225468
"hsa-miR-1254",30.2821456246064,21.0466490952381,11.8371254938844,1.45843630069062e-25,3.02358745265128e-24,44.690103566469
"hsa-miR-4727-3p",14.9863418265857,13.5806489177489,11.8274338699633,1.56701026863223e-25,3.22248079436466e-24,44.6253681829319
"hsa-miR-4717-5p",15.1840077417904,11.0971957272727,11.8236008513081,1.61214307064707e-25,3.28877186412003e-24,44.5997679690562
"hsa-miR-4665-3p",17.125458505623,14.2974471428571,11.8082942089735,1.80567467631207e-25,3.65434160682205e-24,44.4975512169008
"hsa-miR-4733-5p",14.1924559403959,10.9541220995671,11.8047294482044,1.853975248288e-25,3.72254872687748e-24,44.4737492644178
"hsa-miR-634",14.5395464149798,14.893263995671,11.7953997409927,1.98657454673864e-25,3.95762897983089e-24,44.4114606010864
"hsa-miR-4719",12.6349627395412,8.33345074025974,11.7930390352597,2.02159968068897e-25,3.99618541531541e-24,44.3957009940607
"hsa-miR-1914-5p",18.3873825863698,12.7686046796537,11.7730253650866,2.34439156818268e-25,4.59861422989679e-24,44.2621158700648
"hsa-miR-6799-3p",15.1321264604139,11.5725025021645,11.7595385121251,2.59041826844861e-25,5.0424172401099e-24,44.1721178124672
"hsa-miR-3121-5p",12.4128293529015,11.1706567012987,11.7358825181488,3.08574235518824e-25,5.9610931861591e-24,44.0143052233302
"hsa-miR-4464",12.0436078927125,9.78840504329004,11.7343636778834,3.1205947197348e-25,5.98309513934117e-24,44.0041747633274
"hsa-miR-3126-5p",15.0673883774179,11.8028363203463,11.7309854383701,3.19952819077984e-25,6.08865439290193e-24,43.981643207019
"hsa-miR-4724-3p",13.5279689073324,11.3597976883117,11.7057761300218,3.85493716957327e-25,7.28154798697173e-24,43.8135439090523
"hsa-miR-1291",12.7047430191183,11.4419840952381,11.6957375101397,4.15177149800349e-25,7.7709799144588e-24,43.746623286483
"hsa-miR-1243",11.9067833774179,10.7713177445887,11.6949824984391,4.17499705208179e-25,7.7709799144588e-24,43.7415905644363
"hsa-miR-371b-5p",21.7074512233468,15.7030327099567,11.6796839989709,4.67453977637398e-25,8.63773654329975e-24,43.6396274157021
"hsa-miR-6747-3p",15.6918689192533,12.5266578614719,11.6782455056328,4.72447143884328e-25,8.66719580507221e-24,43.6300412514843
"hsa-miR-4691-5p",15.0826760161943,11.7011078311688,11.6614033891549,5.35018453627007e-25,9.74497897677763e-24,43.5178211691951
"hsa-miR-4742-5p",13.392350902834,7.98566555844156,11.6547728025028,5.61861125100991e-25,1.01613182199115e-23,43.4736494335076
"hsa-miR-3074-3p",12.6810291349528,10.2239183160173,11.6497396923509,5.83129634722869e-25,1.04716941446712e-23,43.4401229293273
"hsa-miR-33a-3p",13.6323944206028,10.8572068484848,11.6383375227257,6.34328344531307e-25,1.13114495003834e-23,43.3641809752211
"hsa-miR-519a-3p",12.0241677269456,11.7804915238095,11.6313692674848,6.67799588949474e-25,1.18256177209803e-23,43.3177771601853
"hsa-miR-6785-3p",17.8096650569051,14.2867894848485,11.6110545144566,7.75769267252944e-25,1.36428388378966e-23,43.1825249144182
"hsa-miR-200b-5p",13.093709188709,10.9450463203463,11.6035830585264,8.19715785169678e-25,1.43169537820731e-23,43.132792557666
"hsa-miR-4276",20.8912658511021,16.2435246363636,11.5982944043662,8.52315343527448e-25,1.47850620815986e-23,43.0975933280109
"hsa-miR-191-3p",14.2591130038237,12.9134236623377,11.5957060228373,8.68738255206654e-25,1.49681253430876e-23,43.0803671900451
"hsa-miR-125b-2-3p",11.976445502924,9.73877193073593,11.5872241899573,9.24797520655882e-25,1.58270716622315e-23,43.0239242848212
"hsa-miR-4693-5p",12.2874856907332,10.1129527748918,11.5841051162537,9.46307486144597e-25,1.60872272644582e-23,43.0031702148801
"hsa-miR-7109-3p",20.5971759694107,15.9977094069264,11.5772993016978,9.94989632820445e-25,1.68028050575638e-23,42.9578886230068
"hsa-miR-933",12.6763932067026,12.1034194502164,11.5760718561654,1.00403170054488e-24,1.68439528709832e-23,42.9497225256633
"hsa-miR-651-3p",12.3625699995502,10.0250981125541,11.5545061128064,1.17695299912471e-24,1.95949928673834e-23,42.8062749204186
"hsa-miR-5092",12.5165566349528,10.2310372294372,11.5537664071442,1.18338388297139e-24,1.95949928673834e-23,42.8013555923918
"hsa-miR-4646-5p",17.9613931077373,11.5565234415584,11.5415253796364,1.295038440303e-24,2.13054711146623e-23,42.7199570417641
"hsa-miR-3200-5p",13.5851584152047,10.6670166623377,11.5356063147728,1.35273586530496e-24,2.21120285674849e-23,42.6806034432781
