"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-148a-5p",11.1173522694903,11.7023194069264,11.5196305424485,1.52290379226501e-24,1.4936171808753e-22,42.7655108698988
"hsa-miR-151a-5p",11.4047420198651,11.6458872943723,11.3738428091363,4.44589366043053e-24,4.0503287027506e-22,41.7924680719843
"hsa-miR-6763-3p",15.5803800692654,17.3648277662338,11.3737960293934,4.44741975203987e-24,4.0503287027506e-22,41.7921562689506
"hsa-miR-185-3p",13.1368153955022,13.5694204848485,11.2984969484726,7.72348498722861e-24,6.57740998262267e-22,41.2906267029513
"hsa-miR-219a-1-3p",10.7718820224138,11.6174981731602,11.2982230070551,7.73899525929723e-24,6.57740998262267e-22,41.2888034629914
"hsa-miR-548o-3p",11.3203013223388,11.1600370865801,11.2937606264635,7.99606703769814e-24,6.57740998262267e-22,41.2591051095911
"hsa-miR-187-5p",81.132060314093,60.2663772424242,11.2663555304696,9.77237601214468e-24,7.7873621346778e-22,41.0767746149623
"hsa-miR-92b-3p",13.7740982505997,14.1974341212121,11.2472446172399,1.1238839875698e-23,8.68455808576664e-22,40.949686015816
"hsa-miR-602",16.0083613338831,15.2281460692641,11.2313737460842,1.26219536013904e-23,9.46646520104282e-22,40.8441813156392
"hsa-miR-6859-3p",19.683634093928,15.9229064199134,11.2176139171255,1.3957613214106e-23,1.01691181988486e-21,40.7527378884473
"hsa-miR-509-3p",10.6168073023988,11.5619896753247,11.1172381471895,2.90421134640695e-23,2.05714970370493e-21,40.0864671332663
"hsa-miR-3688-5p",12.3616340290855,10.9642304242424,11.109083813589,3.08208001801738e-23,2.1241362286336e-21,40.0324031240369
"hsa-miR-194-3p",12.5605629917541,11.8728168181818,11.1011241707084,3.26616407716048e-23,2.19176799914716e-21,39.9796391579083
"hsa-miR-3121-5p",11.6314209544978,11.620247991342,11.0812550016058,3.77490299400164e-23,2.4682058037703e-21,39.8479676853249
"hsa-miR-4771",13.2820040907796,14.3228494415584,11.0510315577146,4.70406130042528e-23,2.99883907902112e-21,39.6477896576909
"hsa-miR-4727-3p",13.6622402372564,14.1793925454545,11.0398729680839,5.1019651847884e-23,3.17317346858791e-21,39.5739172978826
"hsa-miR-3607-5p",10.4347201557721,10.764685982684,10.9667843735532,8.67881600795753e-23,5.2692811476885e-21,39.0905154329077
"hsa-miR-510-5p",10.0268570067466,11.1660418744589,10.9609875023645,9.051912893769e-23,5.3679948556072e-21,39.0522100981669
"hsa-miR-1285-3p",14.3380601778111,14.2215782251082,10.9508569903779,9.74269377285482e-23,5.64633389108632e-21,38.985280754421
"hsa-miR-8061",11.7036782317091,11.1368728744589,10.9121310359005,1.29029651719421e-22,7.31168026410053e-21,38.7295761674443
"hsa-miR-296-3p",18.0259528961019,21.8826807142857,10.9042633039828,1.36603482956875e-22,7.57258438130505e-21,38.6776547408781
"hsa-miR-18b-3p",12.812754235982,13.340162978355,10.8787629497498,1.64329157071912e-22,8.91573086241225e-21,38.5094376805584
"hsa-miR-4531",10.9181305257121,11.1134455974026,10.8435431199247,2.12061371227259e-22,1.12657603464481e-20,38.2772749009906
"hsa-miR-101-5p",11.2315659371064,12.145974012987,10.7922194947826,3.07360268387947e-22,1.59952792732503e-20,37.9393181265925
"hsa-miR-1250-5p",11.4997103122938,11.4115860779221,10.7776147719279,3.41563633829515e-22,1.74197453253052e-20,37.8432276632487
"hsa-miR-125b-2-3p",10.5631514627436,10.433507017316,10.7489991644897,4.19952141151254e-22,2.09976070575627e-20,37.655056627443
"hsa-miR-6799-3p",13.5310052249625,12.4188274069264,10.7334958666843,4.69657370525658e-22,2.30312749007775e-20,37.5531670583825
"hsa-miR-4423-5p",12.5271048573463,8.70543792207792,10.7088331222838,5.61072353915488e-22,2.6994990612915e-20,37.3911642496656
"hsa-miR-424-3p",11.5277560834333,12.1375762164502,10.6763347451777,7.09103109178769e-22,3.34854246001085e-20,37.1778499383715
"hsa-miR-218-2-3p",10.6815015328336,11.5005650909091,10.6585633816632,8.05889969340856e-22,3.73639894876215e-20,37.0612785122417
"hsa-miR-4436b-5p",22.8582948876312,19.0748293073593,10.640679983466,9.16562899020744e-22,4.17363462946946e-20,36.9440276869843
"hsa-miR-4691-5p",13.6470246510495,12.4663758181818,10.633381307171,9.6596697652415e-22,4.32143121076593e-20,36.8961906864112
"hsa-miR-299-5p",12.2084859164168,14.7879119480519,10.6274044352498,1.00839197443101e-21,4.43344747379152e-20,36.8570240324494
"hsa-miR-6807-3p",11.2181768308846,11.0544778008658,10.6162821741886,1.09233939104365e-21,4.72112787654459e-20,36.7841562285915
"hsa-miR-371b-5p",19.4662223104948,16.8890298181818,10.6044367059372,1.1894081913389e-21,5.05498481319034e-20,36.7065743910728
"hsa-miR-3074-3p",10.9327219441529,11.0360013506494,10.5875922313297,1.34240772012059e-21,5.53940116336025e-20,36.5962945790148
"hsa-miR-4730",191.142714492579,114.493579926407,10.5871338010853,1.34683479266014e-21,5.53940116336025e-20,36.593293970785
"hsa-miR-320d",11.0586295595952,11.0867782943723,10.5613879503788,1.62026220578843e-21,6.55820416628649e-20,36.424837726933
"hsa-miR-3198",12.2666311867316,12.1518900822511,10.5484700583239,1.77761084437148e-21,7.08266820804261e-20,36.3403604662362
"hsa-miR-8076",11.4561909934033,10.8779642121212,10.5310158990354,2.01463736864836e-21,7.58184246542829e-20,36.2262662335134
"hsa-miR-1279",10.1526629866567,10.8704235021645,10.5310053687708,2.01478946919711e-21,7.58184246542829e-20,36.2261974161348
"hsa-miR-8060",13.3965765087706,12.3745341558442,10.5307887842089,2.01792038256557e-21,7.58184246542829e-20,36.22478199734
"hsa-miR-5690",10.8477324797601,10.4180995281385,10.5305191697151,2.02182465744754e-21,7.58184246542829e-20,36.2230200304617
"hsa-miR-499b-5p",10.517169092054,10.6792353030303,10.5083651255064,2.36971990613213e-21,8.75766052266224e-20,36.0782859580712
"hsa-miR-4529-5p",12.4130364985757,12.8719694588745,10.5051700592021,2.42458561470895e-21,8.83241902501119e-20,36.0574197996693
"hsa-miR-181a-2-3p",11.9048185337331,10.8468133593074,10.4924724639588,2.65541461682186e-21,9.53705249703627e-20,35.9745137277878
"hsa-miR-1255b-5p",10.1265182577211,10.6612141038961,10.4625710022318,3.2890834260514e-21,1.1648837133932e-19,35.7793974108324
