"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1273c",19.3416888608696,12.7304230391304,14.186403933375,3.28814664201158e-33,3.10547182856649e-31,60.4374046749177
"hsa-miR-548n",15.2290797043478,10.340787826087,14.1412810461152,4.63112956709533e-33,4.21763585574753e-31,60.1329694780329
"hsa-miR-130b-5p",14.0929532,10.6513124695652,14.0731655286582,7.76531083696491e-33,6.82811814974501e-31,59.6733445884091
"hsa-miR-509-3p",13.3284479826087,10.2672059478261,14.0539833879628,8.98174390249772e-33,7.63448231712306e-31,59.5438965251383
"hsa-miR-101-5p",14.7486366695652,10.4702444652174,14.0443200732396,9.66490331252019e-33,7.77672558044183e-31,59.478683105329
"hsa-miR-92b-3p",17.9762879652174,12.1693955826087,14.0430424817373,9.75902817937798e-33,7.77672558044183e-31,59.4700611172943
"hsa-miR-664a-5p",12.9464531130435,10.2331065826087,13.9865368895257,1.49809795731633e-32,1.15762114883534e-30,59.0887063320314
"hsa-miR-194-3p",16.010225,10.1964686217391,13.9724316351343,1.66723180730346e-32,1.25042385547759e-30,58.9935048189744
"hsa-miR-96-3p",14.3213191565217,10.6041122217391,13.962456151762,1.7982428574861e-32,1.30995932608041e-30,58.9261754379576
"hsa-miR-18a-3p",15.7765479478261,11.4280651913043,13.9587601105616,1.84935434270176e-32,1.30995932608041e-30,58.9012288180661
"hsa-miR-4479",16.5825539478261,11.8284278173913,13.9411952407591,2.11281533818325e-32,1.456129489829e-30,58.7826721086129
"hsa-miR-132-5p",12.9386647478261,10.863444026087,13.9315751889534,2.27268007848128e-32,1.52508794740191e-30,58.7177389844336
"hsa-miR-1199-3p",16.3400289652174,12.3469263347826,13.919523786712,2.49011113058098e-32,1.62814958537987e-30,58.6363937287996
"hsa-miR-3619-5p",14.4327347217391,11.4584267347826,13.912645819136,2.62339676083625e-32,1.67241543503311e-30,58.5899679108146
"hsa-miR-1200",16.7273318434783,11.4983280695652,13.8698310702274,3.62919032673708e-32,2.25717934955599e-30,58.300963755541
"hsa-miR-1250-5p",14.5150816956522,9.84883318695652,13.8637790641002,3.79953293723004e-32,2.30685928331824e-30,58.2601111359875
"hsa-miR-92a-3p",27.9291430956522,6.36378452173913,13.8606462822903,3.89082457517286e-32,2.30734945736995e-30,58.2389639617594
"hsa-miR-1285-3p",18.4670390086957,12.2349636869565,13.841895122372,4.48493950889237e-32,2.5992263062899e-30,58.1123871999414
"hsa-miR-1908-3p",25.3840342521739,17.5268636565217,13.8386388114614,4.59698708029682e-32,2.60495934550153e-30,58.0904058109131
"hsa-miR-185-3p",16.8592646869565,11.7841237695652,13.8006738344744,6.12919018501724e-32,3.39054549656412e-30,57.8341240322162
"hsa-miR-424-3p",14.7958998086956,10.5811310956522,13.7981135083439,6.24924071915739e-32,3.39054549656412e-30,57.8168404277092
"hsa-miR-1263",14.7824813130435,10.7867145608696,13.7562500860933,8.58125108671972e-32,4.55878963981985e-30,57.534237277756
"hsa-miR-30c-2-3p",13.8806952521739,11.3389147652174,13.6320195949985,2.19801995884653e-31,1.1438675296038e-29,56.6956080888959
"hsa-miR-555",13.2148800173913,10.4012703304348,13.6230671790149,2.35209511736016e-31,1.19956850985368e-29,56.6351755211711
"hsa-miR-550a-5p",31.2782128956522,19.5542625608696,13.6143127278342,2.51319230616182e-31,1.25659615308091e-29,56.5760796541461
"hsa-miR-548o-3p",13.8266339130435,9.93510490434783,13.6104086821061,2.58854371850619e-31,1.26938201580592e-29,56.5497259851032
"hsa-miR-449c-3p",14.3424786782609,10.4722497391304,13.6078797488415,2.63855466572164e-31,1.26949328256419e-29,56.5326548459122
"hsa-miR-377-5p",13.5969746869565,10.1570957695652,13.5886546301252,3.05167942323238e-31,1.44107083874862e-29,56.4028800569484
"hsa-miR-1245a",14.331391373913,11.5789373391304,13.5741138210797,3.40654041176506e-31,1.57939600909107e-29,56.3047271074095
"hsa-miR-1181",28.6188044782609,19.3162137956522,13.53925458381,4.43429853691474e-31,2.01918951234511e-29,56.0694273092814
"hsa-miR-30d-5p",16.8643114521739,12.7255183347826,13.5259885747728,4.90225109495004e-31,2.19311233195134e-29,55.9798842900153
"hsa-miR-219a-1-3p",13.4082661826087,10.3651729869565,13.5026097592121,5.8501888038909e-31,2.5720657672279e-29,55.8220855933454
"hsa-miR-4433b-5p",18.2694503565217,14.3038145608696,13.4700799834311,7.48121952273903e-31,3.23340843779399e-29,55.6025302152546
"hsa-miR-3142",12.9578028869565,10.6358315565217,13.4595085469225,8.10354317716633e-31,3.40866498565472e-29,55.5311822050864
"hsa-miR-1249-3p",33.1661516086957,21.1427958391304,13.4586863065655,8.15406133823287e-31,3.40866498565472e-29,55.5256328513815
"hsa-miR-211-5p",14.4868524086957,10.8340711608696,13.4487314186954,8.7912318770982e-31,3.61574859461297e-29,55.4584473026176
"hsa-miR-1324",12.3895585565217,9.74325851304348,13.3943872714971,1.32550653196009e-30,5.36514548650514e-29,55.0917010469735
"hsa-miR-3074-3p",14.283026626087,9.43773319130435,13.3822519025101,1.45275917033774e-30,5.74517044888502e-29,55.0098100838172
"hsa-miR-143-5p",14.2616766608696,10.3741444956522,13.3811903223189,1.46445521246089e-30,5.74517044888502e-29,55.0026465150804
"hsa-miR-6892-5p",17.401282026087,12.8107685,13.353460488644,1.80564179614266e-30,6.97634330327844e-29,54.8155311579233
"hsa-miR-4262",14.5604323565217,9.91723357826087,13.3375727477553,2.03579787469954e-30,7.74818594102064e-29,54.7083295076173
"hsa-miR-3610",21.4907457826087,13.9288609086957,13.3178229019411,2.36316105219242e-30,8.86185394572157e-29,54.5750745818766
"hsa-miR-3126-5p",16.538255973913,10.9806777,13.3116860664457,2.47521765936144e-30,9.14754352372704e-29,54.5336699274846
"hsa-miR-6795-3p",15.048694173913,12.5978267304348,13.3075657551301,2.55341576221009e-30,9.30172884805102e-29,54.5058709598924
"hsa-miR-148a-5p",13.334041426087,10.6499418434783,13.2981065637511,2.74240091338948e-30,9.84946806921575e-29,54.4420527653564
"hsa-miR-10a-3p",14.2404479217391,10.8655032043478,13.2724319132446,3.3287807857184e-30,1.17894319494193e-28,54.2688426226487
"hsa-miR-558",13.9664498695652,10.6095677608696,13.2702829694111,3.38320213588072e-30,1.18180348582135e-28,54.254345689635
"hsa-miR-519e-5p",14.7574508608696,11.9170709782609,13.266786745684,3.47364837986698e-30,1.19700045522443e-28,54.2307601073265
"hsa-miR-548w",13.0082751043478,9.85027095217391,13.2562583648613,3.76086306154577e-30,1.27869344092556e-28,54.1597369920435
"hsa-miR-4282",14.9794941565217,10.2448041565217,13.2402722551931,4.24294983284285e-30,1.42362132549332e-28,54.0519011755326
"hsa-miR-3691-3p",15.5008229043478,11.0337205913043,13.2343488569402,4.43684904035945e-30,1.46934611076839e-28,54.0119457240281
"hsa-miR-510-5p",12.6784156173913,9.88091074782609,13.1989828934551,5.79323843512328e-30,1.89394333455953e-28,53.7734058897016
"hsa-miR-302f",13.3178676,10.4594169913043,13.1876831587302,6.30851737350546e-30,2.03629358258721e-28,53.6971964286647
"hsa-miR-99a-5p",13.8744218521739,11.0195007695652,13.185336486094,6.42113800876668e-30,2.04673774029438e-28,53.6813700100629
"hsa-miR-3122",22.4373856608696,15.6419272478261,13.1497066748904,8.39978897537446e-30,2.64437801076603e-28,53.4410922935869
"hsa-miR-4726-3p",16.9247685043478,11.476805573913,13.1353481056626,9.35984452614553e-30,2.91068335874038e-28,53.3442711690579
"hsa-miR-141-5p",13.8269385043478,10.3701303652174,13.1309491475778,9.67534635496846e-30,2.97254616929754e-28,53.3146096850992
"hsa-miR-4793-5p",14.7862686695652,10.4149186913043,13.1226609070326,1.02989370941417e-29,3.12646304643588e-28,53.2587247865254
"hsa-miR-1291",14.1753399217391,10.8106631782609,13.0655742490053,1.5833066559553e-29,4.74991996786591e-28,52.8738600638833
